Jumpman Id,AVG_deliveries
3941,1
6715,1
12779,1
14783,1
28299,1
30388,1
33252,1
34063,1
34780,1
37839,1
46336,1
53282,1
54255,1
54356,1
61533,1
62075,1
62334,1
70443,1
74436,1
74914,1
78429,1
88874,1
94614,1
96669,1
99827,1
102048,1
112135,1
113041,1
113364,1
113804,1
116443,1
116765,1
117570,1
117686,1
120726,1
122573,1
123590,1
125160,1
125358,1
125589,1
127745,1
127812,1
127848,1
128471,1
129135,1
129229,1
131811,1
132547,1
132788,1
135029,1
135976,1
137979,1
138208,1
139282,1
140695,1
142183,1
142975,1
143432,1
144528,1
144957,1
148266,1
149947,1
152370,1
154082,1
154943,1
155385,1
156953,1
157353,1
158180,1
158500,1
159647,1
159991,1
160547,1
161392,1
161395,1
161713,1
162955,1
163806,1
164202,1
164939,1
164959,1
165161,1
166482,1
166770,1
167003,1
167608,1
167758,1
168686,1
170282,1
170602,1
170880,1
170959,1
171364,1
171457,1
174053,1
174143,1
175047,1
175466,1
175912,1
175981,1
176223,1
176250,1
177125,1
177184,1
177485,1
179183,1
3592,2
6458,2
15818,2
30365,2
31450,2
38527,2
44938,2
46094,2
47163,2
61162,2
61332,2
62078,2
64628,2
66041,2
67995,2
68276,2
69943,2
82263,2
84386,2
90683,2
98189,2
99499,2
103666,2
103933,2
105762,2
114820,2
115565,2
117447,2
125623,2
129289,2
133106,2
133322,2
139111,2
141203,2
142275,2
143287,2
144401,2
144899,2
145751,2
146428,2
147691,2
149294,2
150915,2
153113,2
153533,2
154514,2
157695,2
162679,2
163674,2
163846,2
164566,2
165255,2
166631,2
167085,2
167645,2
171675,2
174322,2
176701,2
177231,2
181543,2
21147,3
33897,3
35445,3
38971,3
48603,3
60891,3
67912,3
71060,3
96629,3
97695,3
102647,3
103001,3
108444,3
119217,3
123427,3
123793,3
124602,3
125454,3
129982,3
131044,3
132771,3
135175,3
136027,3
136434,3
137053,3
146696,3
147835,3
149967,3
150598,3
152114,3
157471,3
158758,3
161295,3
161438,3
163850,3
164500,3
165585,3
165829,3
165850,3
166974,3
167023,3
169826,3
170848,3
171319,3
172686,3
172811,3
173409,3
173867,3
174416,3
175740,3
9349,4
14610,4
32130,4
32812,4
37696,4
40526,4
45507,4
53990,4
59164,4
64297,4
68208,4
74692,4
91021,4
96818,4
100879,4
107181,4
112257,4
112830,4
115403,4
118805,4
130705,4
133004,4
133452,4
137891,4
140206,4
142491,4
144068,4
145302,4
147798,4
148895,4
151356,4
152951,4
154007,4
154749,4
156712,4
157584,4
157659,4
160005,4
161459,4
163649,4
164846,4
165298,4
166715,4
167332,4
169956,4
170291,4
171534,4
171554,4
36664,5
38652,5
38707,5
38962,5
64396,5
64664,5
65030,5
85971,5
98751,5
105468,5
113300,5
115756,5
119794,5
124514,5
132738,5
135149,5
137396,5
137652,5
139345,5
139558,5
142236,5
143427,5
148268,5
149142,5
152200,5
162070,5
169794,5
172700,5
9078,6
9476,6
20124,6
47756,6
50862,6
59989,6
65288,6
102418,6
108297,6
114393,6
120531,6
125052,6
133267,6
137743,6
138873,6
139760,6
140410,6
143807,6
144919,6
148770,6
150116,6
152145,6
153879,6
153943,6
154955,6
156008,6
170737,6
170756,6
172130,6
174186,6
31230,7
39202,7
45026,7
91656,7
104111,7
104954,7
108004,7
110192,7
112646,7
116141,7
128256,7
136851,7
142301,7
146510,7
151761,7
153038,7
155234,7
157175,7
166619,7
168796,7
175485,7
175555,7
177847,7
36348,8
52502,8
67899,8
72941,8
88387,8
91735,8
124045,8
132893,8
133268,8
139613,8
145425,8
145502,8
146883,8
151440,8
155879,8
160433,8
160489,8
161485,8
162905,8
165169,8
172399,8
178325,8
16610,9
34804,9
47204,9
47407,9
60149,9
83117,9
95942,9
104146,9
108647,9
116326,9
122096,9
122124,9
124216,9
132101,9
133627,9
150260,9
151073,9
153257,9
153766,9
163796,9
17402,10
30774,10
31859,10
41959,10
46602,10
102353,10
119153,10
119813,10
129698,10
130599,10
144094,10
146356,10
147789,10
149328,10
156508,10
161082,10
162603,10
163828,10
163947,10
165094,10
172301,10
35973,11
38597,11
49223,11
59184,11
71148,11
79598,11
88804,11
91765,11
94865,11
100390,11
120179,11
124030,11
129310,11
141201,11
145255,11
149651,11
152053,11
161162,11
20217,12
39443,12
43196,12
48430,12
52826,12
56776,12
81503,12
84770,12
105178,12
109013,12
112851,12
127402,12
144384,12
152676,12
158623,12
162381,12
164384,12
8625,13
62487,13
105427,13
113563,13
114469,13
116438,13
117223,13
134198,13
151208,13
153795,13
9549,14
34669,14
55567,14
58695,14
65038,14
69889,14
83565,14
90681,14
118707,14
139444,14
139995,14
145761,14
158227,14
158962,14
5935,15
46760,15
46764,15
49875,15
54954,15
73175,15
89004,15
102837,15
108006,15
110399,15
137297,15
143261,15
157596,15
166448,15
18860,16
69993,16
134189,16
138057,16
140919,16
144719,16
161440,16
60761,17
62860,17
109259,17
118093,17
119839,17
157415,17
157975,17
19432,18
30905,18
67103,18
103194,18
112990,18
122309,18
122837,18
124897,18
137090,18
147033,18
165830,18
10940,19
15291,19
119255,19
158266,19
171206,19
34667,20
44356,20
123844,20
147300,20
65763,21
81285,21
86938,21
106964,21
132725,21
140794,21
152741,21
154377,21
157086,21
158791,21
59348,22
72480,23
116881,23
125504,23
79847,24
113822,24
138560,24
151467,24
154990,24
31156,25
91932,25
104989,25
167596,25
7833,26
111793,26
41408,27
66004,27
128139,27
93783,28
152111,28
154545,28
28765,29
39733,29
57186,29
67430,29
140096,29
6873,30
118659,30
57496,31
140684,32
91807,33
133293,34
143085,35
156557,35
138061,36
123581,38
142140,41
43955,42
84093,43
118095,43
22502,44
53095,44
101359,44
32580,46
61900,46
23359,47
20962,48
66416,49
3296,50
30743,52
99219,67
104533,67
142394,67